72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-08T18:30,TSV Gräfelfing e.V.,TuS Fürstenfeldbruck,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-08T19:30,BC Hellenen München,VfR Garching 2,Adolf-Weber-Gymnasium,MTV München,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-08T19:30,TSV München Ost,SpVgg Höhenkirchen,Ost-Dome 1,TSV Milbertshofen,,,
Kreisklasse Herren A (KKHA) 2023/24,2023-10-08T20:00,Ackermannbogen,TSV Ismaning,Hauptschule Elisabeth-Kohn-Str.,Slama Jama Gröbenzell,x,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-10T20:30,MTSV Schwabing 5,TSV Vaterstetten,MTSV Schwabing,TS Jahn München 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-13T20:00,TSV 1860 München,SpVgg Altenerding 2,Wilhelm-Busch-Realschule,SVN München,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-14T00:00,TSV Gräfelfing e.V.,München Basket 2,Kurt-Huber-Gymnasium,TSV 1865 Dachau,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-14T00:00,TSV Gräfelfing e.V.,TG Landshut,Kurt-Huber-Gymnasium,TSV München Ost,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-14T09:00,TSV Weilheim,TSV Milbertshofen,Sportzentrum,Gautinger Sportclub e.V.,x,,
Landesliga U14m Süd,2023-10-14T10:00,Baskets Vilsbiburg,TSV München Ost,Ballsporthalle,TG Landshut,,,
Landesliga U14m Süd,2023-10-14T10:00,FC Bayern München 3,SB Rosenheim,Städt. Sporthalle Säbener Str.,TSV Jahn Freising,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-14T10:00,MTV München,TSV München-Solln,Berufsfachschule Kinderpflege,BC Hellenen München,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-14T10:00,TS Jahn München 2,TG Landshut,Ruth-Drexel-Grundschule,DJK SB München 2,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-14T10:00,TSV Jahn Freising,Baskets Vilsbiburg,Steinpark-Halle,TG Landshut,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-14T10:00,TuS Traunreut,SV Wacker Burghausen 2,null,TV Traunstein,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-14T11:30,TSV Weilheim,MTV München,Sportzentrum,Gautinger Sportclub e.V.,x,,
Landesliga U14m Süd,2023-10-14T12:15,DJK SB München 2,TSV Jahn Freising,Fischer-von-Erlach-Halle,TS Jahn München 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-14T12:15,TG Landshut,TV 1862 Passau,Sportzentrum West Halle 4/5,SpVgg Altenerding 2,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-14T12:15,TSV Wasserburg,TSV Neuötting,Luitpold-Gymnasium,TuS Bad Aibling 2,x,,
Landesliga U14m Süd,2023-10-14T12:30,TS Jahn München 2,BC Hellenen München,Ruth-Drexel-Grundschule,DJK SB München 2,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-14T12:30,TSV München Ost,Slama Jama Gröbenzell,Ost-Dome 1,Maccabi München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-14T12:30,TuS Bad Aibling 2,TSV Haar,Sporthalle im Sportpark,Turn- und Sportverein Raubling e.V.,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-14T14:00,SV Wacker Burghausen 2,TuS Bad Aibling 2,Franz-Xaver-Gruber Mittelschule,TSV Neuötting,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-14T14:00,TSV Weilheim,TSV München-Solln,Sportzentrum,TSV Grünwald,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-14T14:15,Haching Baskets,Baskets Vilsbiburg,Lise-Meitner-Gymnasium,TSV München Ost,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-14T14:30,TG Landshut,BC Hellenen München,Sportzentrum West Halle 4/5,SpVgg Altenerding 2,x,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-14T14:30,TSV Gräfelfing e.V.,TSV Jahn Freising,Kurt-Huber-Gymnasium,Sportfreunde BiH München 2021 e.V.,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-10-14T14:30,TSV Wasserburg,TSV Neuötting,Luitpold-Gymnasium,TuS Bad Aibling 2,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-14T14:45,Slama Jama Gröbenzell,Gautinger Sportclub e.V.,Ballsporthalle Gröbenzell,SV Mammendorf 2,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-14T15:00,MTV München,TSV München Ost,Berufsfachschule Kinderpflege,Ackermannbogen,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-14T15:00,TuS Fürstenfeldbruck,DJK SB München 2,Graf-Rasso-Gymnasium,SV Mammendorf 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-14T15:30,TSV Ismaning,TSV Jahn Freising,Realschule Ismaning,TV von 1895 Markt Schwaben,,,
Kreisklasse Herren Südost 23/24,2023-10-14T16:30,TSV Bad Reichenhall 2,TSV 1864 Grafing 2,Karlsgymnasium,SV Saaldorf,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-14T16:30,TSV Vaterstetten,München Basket 2,Realschule Baldham,TSV Wasserburg,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-14T16:30,TSV Weilheim,DJK SB München 2,Sportzentrum,TSV Grünwald,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-14T16:45,SV Wacker Burghausen 2,TSV 1864 Grafing 2,Franz-Xaver-Gruber Mittelschule,TSV Trostberg 1863,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-14T16:45,TSV Wasserburg,TSV Neuötting,Luitpold-Gymnasium,ASV Rott am Inn 3,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-14T17:00,München Basket 2,TS Jahn München 2,Grundschule Amphionpark,Sportfreunde BiH München 2021 e.V.,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-14T17:00,Slama Jama Gröbenzell,TSV 1898 Penzberg,Ballsporthalle Gröbenzell,SV Mammendorf 2,x,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-14T17:30,Sportfreunde BiH München 2021 e.V.,MTSV Schwabing 5,Berufsschule Dreifachhalle,München Basket 2,,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-14T17:30,TSV Haar,München Basket 2,Ernst-Mach-Gymnasium,Haching Baskets,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-14T18:00,TSV Gars,SV Schwindegg,Hauptschule,TSV Wasserburg,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-14T18:00,TuS Holzkirchen,TS Jahn München 2,Sportzentrum,SV Bad Tölz,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-14T19:00,ASV Rott am Inn 3,TSV 1860 Rosenheim,Schulturnhalle,TSV 1864 Grafing 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-14T19:30,ESV Staffelsee 2,TSV Milbertshofen,Staffelsee-Gymnasium,TSV Weilheim,,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-14T20:00,TS Jahn München 2,BC Hellenen München,TS Jahn München (alt),TuS Fürstenfeldbruck,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-15T10:00,ESV Staffelsee 2,TSV München-Forstenried,Staffelsee-Gymnasium,TSV 1898 Penzberg,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-15T10:00,FC Bayern München 3,Ackermannbogen,FC Bayern Campus,VfR Garching 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-15T10:00,TSV München Ost,München Basket 2,Ost-Dome 1,TS Jahn München 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-15T10:45,Haching Baskets,TSV München-Solln,Lise-Meitner-Gymnasium,TSV 1860 München,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-15T11:15,TSV Gräfelfing e.V.,TS Jahn München 2,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-15T12:00,BC Hellenen München,München Basket 2,Adolf-Weber-Gymnasium,TuS Fürstenfeldbruck,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-15T12:15,ESV Staffelsee 2,SV Mammendorf 2,Staffelsee-Gymnasium,TSV 1898 Penzberg,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-15T12:15,TG Landshut,TSV Weilheim,Sportzentrum West Halle 4/5,TSV 1884 Wolnzach,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-15T12:30,Ackermannbogen,FC Bayern München 3,Hauptschule Elisabeth-Kohn-Str.,TSV Ismaning,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-15T12:30,TS Jahn München 2,München Basket 2,Ruth-Drexel-Grundschule,TSV Vaterstetten,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-15T12:30,TSV Vaterstetten,TSV 1865 Dachau,Realschule Baldham,München Basket 2,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-15T14:30,BC Hellenen München,TSV Trudering,Adolf-Weber-Gymnasium,TuS Fürstenfeldbruck,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-15T14:30,TG Landshut,TV Traunstein,Sportzentrum West Halle 4/5,TSV 1884 Wolnzach,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-15T14:30,TSV München Ost,TSV Gräfelfing e.V.,Ost-Dome 1,Haching Baskets,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-15T14:30,TSV Wasserburg,TS Jahn München 2,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-15T15:00,Ackermannbogen,TSV Grünwald,Hauptschule Elisabeth-Kohn-Str.,TSV Ismaning,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-15T15:00,DJK SB München 2,Baskets Vilsbiburg,Fischer-von-Erlach-Halle,Ackermannbogen,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-15T15:00,Maccabi München,MTV Pfaffenhofen,GS Infanteriestraße,FC Bayern München 3,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-15T15:00,MTSV Schwabing 5,TSV OH Deisenhofen,Morawitzkyhalle,TSV Jahn Freising,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-15T15:00,TSV Vaterstetten,Haching Baskets,Realschule Baldham,München Basket 2,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-15T15:00,TuS Fürstenfeldbruck,TSV 1865 Dachau,Graf-Rasso-Gymnasium,SV Mammendorf 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-15T15:15,Haching Baskets,MTV München,Lise-Meitner-Gymnasium,SV Bad Tölz,,,
Bezirksklasse Herren Südost  23/24,2023-10-15T15:30,SV Wacker Burghausen 2,TSV 1860 Rosenheim,Franz-Xaver-Gruber Mittelschule,SV Seeon,x,,
Kreisklasse Herren A (KKHA) 2023/24,2023-10-15T16:00,TSV Schleißheim,Ackermannbogen,Sporthalle beim Hallenbad,DJK SB München 2,x,,
Kreisklasse Herren A (KKHA) 2023/24,2023-10-15T16:00,TSV Trudering,VfR Garching 2,Gymnasium Trudering,TSV Vaterstetten,x,,
Bezirksklasse Herren Südost  23/24,2023-10-15T16:00,TuS Bad Aibling 2,TuS Prien BRIGENNAS,Sporthalle im Sportpark,TSV Vaterstetten,,,
Bezirksklasse Herren Südost  23/24,2023-10-15T16:45,TSV Wasserburg,SV Seeon,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-15T17:00,Slama Jama Gröbenzell,BC Hellenen München,Ballsporthalle Gröbenzell,DJK SB München 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-15T17:00,TSV Utting,TSV Hechendorf,Sportzentrum ,TSV Gräfelfing e.V.,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-15T17:00,Turn- und Sportverein Raubling e.V.,TuS Töging,null,TuS Holzkirchen,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-15T17:30,Ackermannbogen,TSV Grünwald,Hauptschule Elisabeth-Kohn-Str.,BC Hellenen München,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-15T17:30,Maccabi München,SVN München,GS Infanteriestraße,FC Bayern München 3,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-15T18:00,SpVgg Höhenkirchen,VfR Garching 2,Gymnasium Höhenkirchen-Siegertsbrunn,WSV Glonn,,,
Bezirksklasse Damen (bkd) 2023/24,2023-10-15T18:00,SV Bad Tölz,TSV München-Forstenried,Flintkaserne Sportpark,SpVgg Höhenkirchen,,,
Kreisklasse Herren Südost 23/24,2023-10-15T18:00,SV Wacker Burghausen 2,TuS Prien BRIGENNAS,Franz-Xaver-Gruber Mittelschule,SV Seeon,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-15T18:00,TSV Trudering,SG Poing,Gymnasium Trudering,TSV Vaterstetten,x,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-15T18:00,TV von 1895 Markt Schwaben,FC Anadolu,Lena-Christ Realschule,TS Jahn München 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-15T18:30,TSV Gräfelfing e.V.,TuS Geretsried,Kurt-Huber-Gymnasium,MTV München,,,
Bezirksklasse Herren Südost  23/24,2023-10-15T18:45,WSV Glonn,TV Traunstein,Spielhalle WSV Glonn,TSV München Ost,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-15T19:00,TSV Schleißheim,TSV 1884 Wolnzach,Sporthalle beim Hallenbad,DJK SB München 2,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-15T19:30,TSV Jahn Freising,SVN München,Steinpark-Halle,SpVgg Altenerding 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-15T19:30,TSV München Ost,München Basket 2,Ost-Dome 1,TSV Grünwald,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-15T19:30,TuS Fürstenfeldbruck,TSV München-Solln,Graf-Rasso-Gymnasium,TSV 1865 Dachau,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-20T20:30,TSV München Ost,TSV Ismaning,Ost-Dome 1,TSV Milbertshofen,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-21T10:00,TS Jahn München 2,TSV München Ost,TS Jahn München,TSV Jahn Freising,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-21T10:00,TSV München-Forstenried,TSV Gräfelfing e.V.,GS Baierbrunner Straße,TSV München-Solln,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-21T10:00,TV Traunstein,SV Wacker Burghausen 2,Annette-Kolb-Gymnasium,SV Saaldorf,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-21T10:30,München Basket 2,TSV Weilheim,Grundschule Amphionpark,TS Jahn München 2,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-21T11:00,TSV München-Solln,FV Jahn München,Sporthalle TSV Solln,DJK SB München 2,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-21T11:30,TSV Milbertshofen,TG Landshut,Gebrüder-Apfelbeck-Halle,München Basket 2,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-10-21T12:15,DJK SB München 2,ESV Staffelsee 2,Fischer-von-Erlach-Halle,TSV Gräfelfing e.V.,,,
Landesliga U14m Süd,2023-10-21T12:15,FC Bayern München 3,DJK SB München 2,Städt. Sporthalle Säbener Str.,TSV Ismaning,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-21T12:15,TG Landshut,TuS Traunreut,Sportzentrum West Halle 4/5,TSV 1884 Wolnzach,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-21T12:15,TSV Jahn Freising,TSV Wasserburg,Steinpark-Halle,TSV Ismaning,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-21T12:30,MTSV Schwabing 5,TSV München Ost,Morawitzkyhalle,TV von 1895 Markt Schwaben,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-21T12:30,TV 1862 Passau,TSV Wasserburg,Städt. Mehrfachhalle,TSV Neuötting,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-21T12:45,Baskets Vilsbiburg,TG Landshut,Ballsporthalle,SV Schwindegg,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-21T12:45,München Basket 2,TSV Weilheim,Grundschule Amphionpark,TS Jahn München 2,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-21T14:00,Haching Baskets,MTV München,Lise-Meitner-Gymnasium,TSV Vaterstetten,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-21T14:00,TV Traunstein,TSV 1860 Rosenheim,Annette-Kolb-Gymnasium,TSV Wasserburg,x,,
Landesliga U14m Süd,2023-10-21T14:30,BC Hellenen München,BG Leitershofen/Stadtbergen,Adolf-Weber-Gymnasium,TSV München Ost,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-21T14:30,SV Mammendorf 2,MTV München,Mehrzweckhalle,TSV Schleißheim,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-21T14:30,TSV 1864 Grafing 2,TSV Wasserburg,Jahnsporthalle,TSV 1860 Rosenheim,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-21T14:30,TSV Neuötting,TSV Jahn Freising,Max-Fellermeier-Volksschule,SV Wacker Burghausen 2,,,
Kreisliga Herren B (KLHB)  2023/24,2023-10-21T15:00,MTV München,FC Anadolu,Berufsfachschule Kinderpflege,TSV 1865 Dachau,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-21T15:00,TSV Vaterstetten,MTSV Schwabing 5,Realschule Baldham,TuS Bad Aibling 2,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-21T15:20,TSV 1896 Freilassing,Turn- und Sportverein Raubling e.V.,Sport- und Freizeitanlage Badylon,SV Wacker Burghausen 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-21T15:30,TSV München-Solln,Slama Jama Gröbenzell,Sporthalle TSV Solln,TSV Weilheim,x,,
Kreisklasse Herren Südost 23/24,2023-10-21T15:30,TuS Prien BRIGENNAS,TSV Bad Reichenhall 2,Franziska-Hager-Halle,TSV Wasserburg,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-10-21T16:00,TSV 1884 Wolnzach,TSV 1860 Rosenheim,Hallertau-Gymnasium,TG Landshut,,,
Bezirksklasse Herren Südost  23/24,2023-10-21T16:00,TV Traunstein,TV 1863 Miesbach,Annette-Kolb-Gymnasium,TSV Wasserburg,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-21T16:30,SVN München,TSV München Ost,SVN Sportpark,BC Hellenen München,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-21T16:30,TSV 1865 Dachau,Slama Jama Gröbenzell,Jahnhalle,TSV Schleißheim,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-21T16:30,TSV Bad Reichenhall 2,ASV Rott am Inn 3,Karlsgymnasium,SV Wacker Burghausen 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-21T16:45,TG Landshut,München Basket 2,Sportzentrum West Halle 4/5,TSV 1884 Wolnzach,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-21T17:00,BC Hellenen München,TSV Weilheim,Adolf-Weber-Gymnasium,TSV München Ost,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-21T17:00,DJK SB München 2,TSV Utting,Fischer-von-Erlach-Halle,TSV Gräfelfing e.V.,,,
Bezirksklasse Damen (bkd) 2023/24,2023-10-21T17:00,SV Mammendorf 2,SV Bad Tölz,Mehrzweckhalle,TSV Schleißheim,x,,
Bezirksklasse Damen (bkd) 2023/24,2023-10-21T17:00,TSV München-Forstenried,TSV Ismaning,GS Baierbrunner Straße,TSV München-Solln,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-21T17:30,MTV München,TuS Holzkirchen,Berufsfachschule Kinderpflege,TSV 1865 Dachau,x,,
Kreisliga Herren A (KLHA) 2023/24,2023-10-21T17:30,SG Poing,TSV Jahn Freising,Dreifachhalle,TSV 1864 Grafing 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-10-21T17:30,TS Jahn München 2,TSV München Ost,TS Jahn München,München Basket 2,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-21T17:45,TSV München-Solln,DJK SB München 2,Sporthalle TSV Solln,TSV Weilheim,x,,
Bezirksklasse Herren Südost  23/24,2023-10-21T18:00,TuS Prien BRIGENNAS,SV Wacker Burghausen 2,Franziska-Hager-Halle,TSV Wasserburg,x,,
Bezirksklasse Herren Südost  23/24,2023-10-21T18:30,SV Seeon,WSV Glonn,Schule Seeon,SV Wacker Burghausen 2,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-10-21T19:00,SVN München,Maccabi München,SVN Sportpark,BC Hellenen München,x,,
Bezirksklasse Herren Südost  23/24,2023-10-21T19:00,TSV 1860 Rosenheim,TSV Wasserburg,Finsterwalder Gymnasium,TuS Bad Aibling 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-21T19:00,TSV Hechendorf,TSV Gräfelfing e.V.,Zweifachsporthalle,München Basket 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-21T19:00,TuS Geretsried,TuS Fürstenfeldbruck,Gymnasium Icking,SV Bad Tölz,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-10-22T10:00,Baskets Vilsbiburg,TS Jahn München 2,Ballsporthalle,TSV Gars,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-22T10:00,FC Bayern München 3,TSV Vaterstetten,Städt. Sporthalle Säbener Str.,TSV Jahn Freising,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-22T10:00,TS Jahn München 2,Haching Baskets,TS Jahn München (alt),Maccabi München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-22T10:00,TS Jahn München 2,Haching Baskets,TS Jahn München,TSV Ismaning,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-22T11:15,München Basket 2,ESV Staffelsee 2,Grundschule Amphionpark,MTV München,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-22T12:00,BC Hellenen München,Ackermannbogen,Adolf-Weber-Gymnasium,TSV Gräfelfing e.V.,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-22T12:00,TSV Trudering,TSV Vaterstetten,Gymnasium Trudering,TS Jahn München 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-22T12:00,TuS Bad Aibling 2,TG Landshut,Sporthalle im Sportpark,TuS Prien BRIGENNAS,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-22T12:15,ESV Staffelsee 2,TSV Gräfelfing e.V.,Staffelsee-Gymnasium,TSV Weilheim,,,
Landesliga U14m Süd,2023-10-22T12:15,TSV Jahn Freising,Baskets Vilsbiburg,Steinpark-Halle,TG Landshut,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-22T12:30,Ackermannbogen,BC Hellenen München,null,TS Jahn München 2,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-22T13:30,München Basket 2,TG Landshut,Grundschule Amphionpark,MTV München,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-22T14:00,TSV Weilheim,TSV München Ost,W.-C.-Röntgen-Mittelschule,ESV Staffelsee 2,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-22T14:15,TSV OH Deisenhofen,TSV Ismaning,Kyberghalle,Ackermannbogen,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-22T14:30,Baskets Vilsbiburg,TuS Bad Aibling 2,Ballsporthalle,SpVgg Altenerding 2,,,
Kreisklasse Herren Südost 23/24,2023-10-22T14:30,TSV 1864 Grafing 2,TSV Wasserburg,Jahnsporthalle,SG Poing,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-22T14:30,TSV 1898 Penzberg,TSV München-Forstenried,Neue Sporthalle Wellenbad,TSV Weilheim,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-22T14:30,TSV Milbertshofen,TSV Weilheim,Gebrüder-Apfelbeck-Halle,Ackermannbogen,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-22T15:15,TSV Haar,TSV Gräfelfing e.V.,Ernst-Mach-Gymnasium,TS Jahn München 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-22T15:30,TSV Grünwald,BC Hellenen München,Gymnasium Grünwald,TSV München-Solln,,,
Kreisliga Herren Südost  Saison 23/24,2023-10-22T16:00,SV Schwindegg,Turn- und Sportverein Raubling e.V.,Hauptschule,Baskets Vilsbiburg,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-22T16:00,TSV 1865 Dachau,TSV Gräfelfing e.V.,Jahnhalle,TuS Fürstenfeldbruck,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-22T16:30,Gautinger Sportclub e.V.,TSV Vaterstetten,Realschule,TSV Gräfelfing e.V.,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-22T16:45,TSV 1898 Penzberg,TuS Fürstenfeldbruck,Neue Sporthalle Wellenbad,TSV Weilheim,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2023-10-22T16:45,TSV München-Solln,ESV Staffelsee 2,Sporthalle TSV Solln,DJK SB München 2,,,
